	CAVIAR-Asian	CAVIAR-Euro	PAINTOR	MsCAVIAR
locus_chromosome_10_bp_113440329_to_114440329	83	52	58	61
locus_chromosome_10_bp_115286236_to_116286236	31	16	18	10
locus_chromosome_10_bp_122398697_to_123398697	97	85	53	102
locus_chromosome_10_bp_33136099_to_34136099	230	32	48	20
locus_chromosome_10_bp_45522005_to_46522005	59	48	38	34
locus_chromosome_10_bp_64552205_to_65552205	275	249	230	238
locus_chromosome_10_bp_88011326_to_89011326	88	77	54	63
locus_chromosome_10_bp_94314710_to_95314710	148	15	22	6
locus_chromosome_10_bp_94816037_to_95816037	112	7	17	4
locus_chromosome_10_bp_99269388_to_100269388	66	57	57	55
locus_chromosome_11_bp_109470749_to_110470749	72	65	62	62
locus_chromosome_11_bp_115908029_to_116908029	9	6	6	5
locus_chromosome_11_bp_117920241_to_118920241	54	46	44	38
locus_chromosome_11_bp_122014403_to_123014403	97	59	58	43
locus_chromosome_11_bp_125725876_to_126725876	143	50	47	18
locus_chromosome_11_bp_13837575_to_14837575	254	151	118	93
locus_chromosome_11_bp_14365399_to_15365399	137	112	105	71
locus_chromosome_11_bp_27248493_to_28248493	121	101	90	90
locus_chromosome_11_bp_45413607_to_46413607	15	13	15	12
locus_chromosome_11_bp_46228966_to_47228966	170	57	16	24
locus_chromosome_11_bp_46837383_to_47837383	396	82	81	73
locus_chromosome_11_bp_47398535_to_48398535	248	34	49	36
locus_chromosome_11_bp_47944711_to_48944711	71	9	4	9
locus_chromosome_11_bp_61092362_to_62092362	44	6	25	6
locus_chromosome_11_bp_63504723_to_64504723	23	14	18	16
locus_chromosome_11_bp_64973798_to_65973798	100	62	65	64
locus_chromosome_11_bp_65566993_to_66566993	35	27	33	28
locus_chromosome_11_bp_68116074_to_69116074	55	51	50	46
locus_chromosome_11_bp_74952486_to_75952486	143	116	110	100
locus_chromosome_12_bp_109371179_to_110371179	232	177	19	28
locus_chromosome_12_bp_110558188_to_111558188	64	88	35	65
locus_chromosome_12_bp_111218231_to_112218231	10	172	5	7
locus_chromosome_12_bp_112091686_to_113091686	16	27	27	19
locus_chromosome_12_bp_112819105_to_113819105	6	90	10	4
locus_chromosome_12_bp_120916622_to_121916622	159	110	94	96
locus_chromosome_12_bp_122688475_to_123688475	129	31	19	19
locus_chromosome_12_bp_123236084_to_124236084	430	253	128	249
locus_chromosome_12_bp_123909502_to_124909502	98	56	6	17
locus_chromosome_12_bp_124765201_to_125765201	19	6	4	5
locus_chromosome_12_bp_19970199_to_20970199	75	9	19	9
locus_chromosome_12_bp_53233529_to_54233529	33	23	25	17
locus_chromosome_12_bp_56831741_to_57831741	42	19	29	28
locus_chromosome_12_bp_57339173_to_58339173	46	20	16	15
locus_chromosome_12_bp_57922642_to_58922642	36	33	34	33
locus_chromosome_12_bp_6163964_to_7163964	89	81	79	69
locus_chromosome_12_bp_70973887_to_71973887	17	14	16	14
locus_chromosome_12_bp_8595905_to_9595905	83	51	42	54
locus_chromosome_14_bp_102747844_to_103747844	22	17	16	10
locus_chromosome_14_bp_104758892_to_105758892	33	8	26	8
locus_chromosome_14_bp_68649372_to_69649372	29	28	30	26
locus_chromosome_14_bp_73750126_to_74750126	30	22	25	19
locus_chromosome_14_bp_74860906_to_75860906	367	320	236	283
locus_chromosome_14_bp_81135888_to_82135888	50	49	47	39
locus_chromosome_15_bp_23444489_to_24444489	25	21	21	21
locus_chromosome_15_bp_42599550_to_43599550	99	83	55	45
locus_chromosome_15_bp_57703414_to_58703414	8	6	5	3
locus_chromosome_15_bp_58223939_to_59223939	5	3	6	3
locus_chromosome_15_bp_59004897_to_60004897	30	52	20	14
locus_chromosome_15_bp_62844167_to_63844167	18	12	16	12
locus_chromosome_15_bp_74212937_to_75212937	219	191	171	189
locus_chromosome_15_bp_74964992_to_75964992	51	42	42	40
locus_chromosome_16_bp_53303187_to_54303187	59	45	47	40
locus_chromosome_16_bp_55410194_to_56410194	51	8	6	5
locus_chromosome_16_bp_55918284_to_56918284	50	10	7	7
locus_chromosome_16_bp_56995026_to_57995026	4	3	5	6
locus_chromosome_16_bp_66898369_to_67898369	57	38	48	43
locus_chromosome_16_bp_67472194_to_68472194	301	154	8	94
locus_chromosome_16_bp_68059767_to_69059767	302	111	5	82
locus_chromosome_16_bp_74682354_to_75682354	311	295	254	286
locus_chromosome_16_bp_81034790_to_82034790	86	17	21	19
locus_chromosome_17_bp_37310218_to_38310218	287	111	42	110
locus_chromosome_17_bp_37844485_to_38844485	192	94	58	91
locus_chromosome_17_bp_40281561_to_41281561	196	182	64	66
locus_chromosome_17_bp_41426126_to_42426126	22	7	7	6
locus_chromosome_17_bp_66323805_to_67323805	129	36	27	19
locus_chromosome_17_bp_6962969_to_7962969	34	30	28	22
locus_chromosome_17_bp_75898130_to_76898130	157	112	124	97
locus_chromosome_17_bp_7590908_to_8590908	32	25	27	23
locus_chromosome_18_bp_19166877_to_20166877	147	137	140	138
locus_chromosome_18_bp_46078242_to_47078242	49	5	12	4
locus_chromosome_18_bp_46609955_to_47609955	7	13	7	6
locus_chromosome_18_bp_47132322_to_48132322	24	15	6	7
locus_chromosome_18_bp_57413965_to_58413965	65	41	48	33
locus_chromosome_19_bp_10850488_to_11850488	28	14	19	8
locus_chromosome_19_bp_33396432_to_34396432	65	30	40	27
locus_chromosome_19_bp_44911941_to_45911941	6	3	5	3
locus_chromosome_19_bp_45884830_to_46884830	72	45	39	41
locus_chromosome_19_bp_51841757_to_52841757	291	204	100	149
locus_chromosome_19_bp_54300500_to_55300500	14	14	6	11
locus_chromosome_19_bp_7011798_to_8011798	16	13	13	11
locus_chromosome_19_bp_7929323_to_8929323	46	6	7	5
locus_chromosome_1_bp_109166352_to_110166352	41	16	25	15
locus_chromosome_1_bp_109732983_to_110732983	85	12	7	7
locus_chromosome_1_bp_178013895_to_179013895	193	138	127	123
locus_chromosome_1_bp_181671957_to_182671957	77	67	70	63
locus_chromosome_1_bp_219182178_to_220182178	24	19	19	15
locus_chromosome_1_bp_220470028_to_221470028	51	24	30	19
locus_chromosome_1_bp_229797778_to_230797778	177	19	11	23
locus_chromosome_1_bp_230323363_to_231323363	53	6	22	6
locus_chromosome_1_bp_23210475_to_24210475	26	19	21	18
locus_chromosome_1_bp_39503410_to_40503410	183	103	84	115
locus_chromosome_1_bp_435222_to_1435222	13	8	11	8
locus_chromosome_1_bp_65573952_to_66573952	23	14	18	12
locus_chromosome_2_bp_-216206_to_783794	73	64	52	55
locus_chromosome_1_bp_93358292_to_94358292	274	156	48	56
locus_chromosome_20_bp_17096155_to_18096155	70	53	50	31
locus_chromosome_20_bp_44051855_to_45051855	75	10	4	12
locus_chromosome_20_bp_45840596_to_46840596	138	7	12	7
locus_chromosome_20_bp_50746378_to_51746378	48	44	42	41
locus_chromosome_20_bp_61847191_to_62847191	255	183	9	87
locus_chromosome_21_bp_45771452_to_46771452	122	127	71	61
locus_chromosome_21_bp_46399279_to_47399279	60	52	51	47
locus_chromosome_22_bp_21425017_to_22425017	69	68	68	68
locus_chromosome_22_bp_29924863_to_30924863	260	206	187	188
locus_chromosome_22_bp_30425616_to_31425616	217	170	128	159
locus_chromosome_22_bp_38099857_to_39099857	31	23	24	16
locus_chromosome_22_bp_38610124_to_39610124	33	24	29	23
locus_chromosome_2_bp_100295962_to_101295962	60	59	4	49
locus_chromosome_2_bp_134763081_to_135763081	96	85	81	76
locus_chromosome_2_bp_135407088_to_136407088	60	59	57	53
locus_chromosome_2_bp_135907479_to_136907479	26	24	24	22
locus_chromosome_2_bp_136507429_to_137507429	21	19	20	18
locus_chromosome_2_bp_165055539_to_166055539	144	73	55	61
locus_chromosome_2_bp_173416114_to_174416114	78	57	67	50
locus_chromosome_2_bp_19871772_to_20871772	13	10	12	10
locus_chromosome_2_bp_20731524_to_21731524	105	24	32	27
locus_chromosome_2_bp_211040507_to_212040507	64	55	46	40
locus_chromosome_2_bp_226599180_to_227599180	218	61	107	139
locus_chromosome_2_bp_241737902_to_242737902	105	87	71	75
locus_chromosome_2_bp_48462291_to_49462291	31	26	29	23
locus_chromosome_3_bp_11851223_to_12851223	365	79	32	69
locus_chromosome_3_bp_135380410_to_136380410	130	100	91	103
locus_chromosome_3_bp_135904095_to_136904095	163	130	115	123
locus_chromosome_3_bp_156298732_to_157298732	46	23	35	24
locus_chromosome_3_bp_184782232_to_185782232	66	55	64	60
locus_chromosome_3_bp_185322353_to_186322353	92	10	29	10
locus_chromosome_3_bp_46425539_to_47425539	152	126	110	112
locus_chromosome_3_bp_47221512_to_48221512	67	66	57	55
locus_chromosome_3_bp_49524027_to_50524027	249	163	164	100
locus_chromosome_4_bp_102181041_to_103181041	23	14	19	12
locus_chromosome_4_bp_102688709_to_103688709	24	10	16	12
locus_chromosome_4_bp_25550450_to_26550450	11	3	7	3
locus_chromosome_4_bp_39288949_to_40288949	91	77	68	59
locus_chromosome_4_bp_470112_to_1470112	63	56	50	44
locus_chromosome_4_bp_54998781_to_55998781	25	20	23	21
locus_chromosome_4_bp_68861445_to_69861445	29	25	27	24
locus_chromosome_4_bp_86973776_to_87973776	133	101	100	84
locus_chromosome_4_bp_87518991_to_88518991	242	68	103	89
locus_chromosome_4_bp_89230074_to_90230074	111	65	78	65
locus_chromosome_4_bp_99761577_to_100761577	160	110	100	83
locus_chromosome_5_bp_103434169_to_104434169	44	35	26	23
locus_chromosome_5_bp_110726812_to_111726812	79	73	69	63
locus_chromosome_5_bp_126850549_to_127850549	49	35	21	19
locus_chromosome_5_bp_157499022_to_158499022	122	109	71	87
locus_chromosome_5_bp_55304552_to_56304552	88	9	6	9
locus_chromosome_5_bp_74503678_to_75503678	78	58	49	41
locus_chromosome_7_bp_551664_to_1551664	195	85	65	51
locus_chromosome_7_bp_106289152_to_107289152	63	41	46	34
